u,x,dx,ddx
1.87541,72.316,383.444,135.214
1.86931,72.7,383.296,106.785
1.8631,73.084,383.163,82.7447
1.85662,73.464,382.645,22.6965
1.85116,73.848,382.58,13.9231
1.84463,74.232,382.517,6.14846
1.83752,74.612,382.062,-39.8976
1.83193,74.996,382.053,-36.7821
1.82504,75.376,381.647,-73.7181
1.81911,75.756,381.277,-103.275
1.8131,76.14,381.345,-86.0986
1.80606,76.52,381.011,-110.909
1.79975,76.904,381.109,-89.9304
1.79233,77.284,380.797,-112.121
1.78597,77.668,380.914,-89.0697
1.77835,78.048,380.623,-109.3
1.77171,78.428,380.36,-124.555
1.76526,78.808,380.119,-136.12
1.75835,79.188,379.907,-143.673
1.75155,79.568,379.717,-148.21
1.74471,79.952,379.946,-110.429
1.73656,80.332,379.749,-119.068
1.72956,80.716,379.974,-84.5242
1.72141,81.096,379.777,-95.7983
1.71435,81.476,379.6,-103.868
1.70708,81.856,379.436,-109.821
1.69946,82.236,379.291,-113.205
1.69204,82.616,379.162,-114.772
1.6846,82.992,378.646,-154.839
1.67801,83.372,378.579,-145.95
1.66996,83.752,378.522,-136.941
1.66237,84.132,378.473,-128.125
1.65437,84.512,378.425,-120.082
1.64628,84.888,377.98,-152.463
1.63922,85.268,377.969,-138.208
1.63112,85.644,377.572,-164.057
1.62373,86.02,377.205,-184.242
1.61633,86.396,376.881,-198.111
1.60879,86.772,376.593,-206.965
1.60094,87.152,376.735,-172.011
1.59208,87.528,376.464,-181.817
1.58444,87.904,376.215,-188.46
1.57651,88.28,375.996,-191.379
1.56836,88.652,375.397,-232.065
1.56114,89.024,374.861,-262.312
1.55379,89.396,374.374,-284.669
1.54634,89.768,373.937,-299.749
1.53886,90.14,373.547,-308.627
1.53098,90.512,373.196,-312.654
1.52327,90.884,372.874,-313.393
1.51508,91.256,372.589,-310.379
1.50674,91.624,371.935,-344.634
1.49963,91.992,371.346,-368.895
1.49223,92.36,370.811,-385.321
1.48438,92.724,369.933,-434.352
1.47772,93.092,369.544,-429.558
1.46959,93.46,369.196,-421.232
1.46147,93.824,368.477,-450.783
1.45424,94.188,367.834,-469.744
1.44662,94.548,366.857,-520.265
1.44023,94.912,366.375,-516.145
1.43229,95.276,365.844,-517.164
1.42423,95.636,365.068,-542.804
1.41712,95.996,364.369,-558.124
1.4097,96.356,363.735,-565.416
1.40205,96.72,363.569,-525.189
1.39324,97.08,363.022,-527.045
1.3852,97.44,362.53,-523.257
1.37737,97.796,361.683,-555.413
1.37015,98.156,361.324,-535.422
1.36149,98.516,361.002,-513.834
1.35307,98.872,360.312,-531.154
1.34531,99.228,359.689,-540.134
1.33717,99.584,359.131,-541.631
1.32915,99.94,358.629,-537.347
1.32085,100.296,358.176,-528.625
1.31237,100.648,357.368,-556.268
1.3046,101.004,357.042,-532.997
1.29595,101.356,356.349,-548.666
1.28795,101.708,355.728,-555.659
1.27982,102.06,355.163,-556.233
1.27163,102.408,354.256,-591.044
1.26405,102.76,353.844,-572.843
1.25526,103.108,353.073,-592.349
1.24742,103.456,352.375,-602.593
1.23926,103.804,351.752,-604.331
1.23089,104.148,350.79,-639.717
1.22343,104.496,350.327,-621.743
1.21481,104.84,349.508,-641.132
1.20683,105.184,348.772,-650.325
1.19892,105.528,348.111,-651.025
1.19069,105.872,347.514,-645.252
1.18226,106.212,346.575,-674.285
1.17451,106.548,345.335,-730.519
1.16768,106.888,344.618,-728.775
1.15949,107.224,343.576,-759.743
1.15196,107.56,342.636,-777.365
1.14422,107.896,341.791,-783.675
1.13612,108.232,341.032,-780.764
1.12826,108.564,339.95,-810.545
1.12104,108.896,338.971,-826.874
1.11344,109.228,338.095,-831.356
1.10581,109.556,336.907,-866.58
1.09857,109.884,335.84,-886.249
1.09109,110.212,334.876,-893.497
1.08347,110.536,333.61,-930.278
1.07661,110.864,332.873,-910.432
1.06847,111.184,331.41,-965.198
1.06233,111.508,330.49,-960.196
1.05478,111.828,329.266,-986.068
1.04785,112.148,328.165,-997.018
1.04074,112.468,327.176,-995.732
1.03309,112.784,325.882,-1024.96
1.02654,113.1,324.722,-1037.92
1.01955,113.416,323.68,-1037.86
1.01201,113.728,322.343,-1067.18
1.00531,114.044,321.537,-1040.52
0.997542,114.356,320.413,-1048.29
0.990478,114.668,319.401,-1044.08
0.983118,114.972,317.693,-1110.02
0.977638,115.284,316.952,-1072.45
0.969559,115.588,315.49,-1110.88
0.963584,115.896,314.575,-1090.66
0.955797,116.2,313.352,-1103.33
0.948868,116.504,312.248,-1102.8
0.941757,116.808,311.257,-1091.01
0.934598,117.108,309.969,-1110.2
0.928041,117.408,308.809,-1114.61
0.921049,117.708,307.763,-1107.13
0.913997,118.004,306.422,-1129.9
0.907537,118.3,305.219,-1136.63
0.900871,118.592,303.737,-1170.62
0.894697,118.888,302.801,-1146.5
0.887427,119.18,301.561,-1155.27
0.880771,119.472,300.446,-1150.59
0.873688,119.76,299.044,-1175.13
0.867596,120.048,297.78,-1183.41
0.861223,120.332,296.245,-1217.97
0.855458,120.62,295.265,-1193.51
0.848281,120.904,293.981,-1201.9
0.842188,121.188,292.826,-1196.59
0.835359,121.468,291.388,-1220.04
0.829399,121.748,290.096,-1226.67
0.823326,122.028,288.933,-1219.58
0.816516,122.304,287.485,-1241.83
