u,x,dx,ddx
2.81509,149.924,590.855,67.0839
2.78321,150.516,590.661,41.0355
2.75081,151.108,590.48,18.7896
2.71826,151.7,590.32,0.867551
2.6857,152.292,590.174,-13.824
2.6525,152.884,590.045,-25.3697
2.61884,153.476,589.923,-35.0206
2.5852,154.068,589.819,-41.8555
2.55096,154.66,589.728,-46.7795
2.51665,155.248,589.244,-90.3966
2.48548,155.84,589.203,-85.4719
2.45048,156.432,589.169,-80.2294
2.41495,157.024,589.144,-74.6888
2.37941,157.616,589.119,-69.6515
2.34397,158.212,589.493,-25.2959
2.30408,158.8,589.029,-69.1724
2.27163,159.392,589.016,-63.4475
2.23537,159.98,588.605,-98.2157
2.20216,160.568,588.23,-125.793
2.16827,161.156,587.896,-146.563
2.13374,161.744,587.598,-161.692
2.09942,162.332,587.33,-172.205
2.06435,162.92,587.083,-179.579
2.02872,163.508,586.865,-183.35
1.99302,164.092,586.271,-224.349
1.9602,164.676,585.731,-255.713
1.92655,165.26,585.245,-278.638
1.89249,165.844,584.811,-294.025
1.85815,166.424,584.021,-343.474
1.82617,167.008,583.712,-339.875
1.79,167.588,583.027,-374.203
1.75763,168.168,582.416,-397.706
1.72385,168.752,582.267,-372.563
1.68567,169.332,581.735,-388.374
1.65094,169.908,580.849,-437.89
1.61946,170.488,580.456,-433.12
1.58322,171.064,579.704,-464.814
1.54951,171.64,579.027,-485.805
1.51567,172.216,578.411,-498.516
1.48079,172.796,578.265,-463.003
1.44152,173.372,577.733,-469.712
1.4058,173.948,577.258,-469.93
1.36916,174.524,576.824,-466.09
1.33179,175.1,576.435,-458.147
1.29455,175.672,575.688,-486.776
1.2597,176.244,575.017,-504.967
1.22354,176.816,574.407,-515.25
1.18722,177.384,573.465,-557.666
1.15373,177.956,573.016,-546.484
1.11577,178.52,571.811,-611.988
1.08388,179.088,571.122,-619.41
1.04792,179.652,570.106,-658.753
1.01413,180.22,569.593,-643.796
0.97597,180.784,568.734,-664.968
0.940255,181.352,568.357,-635.845
0.901116,181.912,567.22,-685.581
0.867586,182.472,566.199,-718.824
0.833156,183.032,565.278,-738.589
0.79765,183.592,564.446,-747.556
0.761278,184.148,563.302,-786.837
0.727096,184.704,562.274,-810.547
0.692459,185.26,561.354,-821.046
0.65615,185.816,560.515,-822.356
0.618752,186.384,560.138,-776.24
0.576385,186.936,559.026,-809.379
0.54168,187.488,558.03,-827.629
0.50524,188.04,557.128,-834.608
0.467652,188.592,556.319,-831.621
0.429441,189.14,555.193,-860.553
0.393662,189.688,554.185,-874.882
0.356273,190.236,553.267,-878.703
0.318525,190.784,552.446,-872.46
0.27921,191.332,551.708,-858.571
0.239251,191.876,550.648,-878.297
0.201552,192.42,549.688,-885.957
0.163092,192.964,548.825,-883.171
0.12339,193.504,547.654,-911.495
0.0858502,194.044,546.603,-925.032
0.047818,194.584,545.649,-927.368
0.00810653,195.12,544.398,-959.321
-0.0287935,195.656,543.267,-975.89
-0.066973,196.192,542.254,-979.086
-0.106527,196.728,541.322,-973.89
-0.147601,197.256,539.7,-1038.13
-0.181843,197.788,538.647,-1039.13
-0.221771,198.316,537.299,-1069.44
-0.258976,198.844,536.081,-1083.67
-0.297543,199.372,534.989,-1084
